,revenue,order_count,aov
77,205033.75,35,5858.11
78,181522.7,31,5855.57
79,134566.3,23,5850.71
80,116829.5,20,5841.48
81,181047.75,31,5840.25
82,169254.25,29,5836.35
83,232114.15,40,5802.85
84,156615.2,27,5800.56
85,156532.65,27,5797.51
86,115791.95,20,5789.6
87,185179.35,32,5786.85
88,150066.7,26,5771.8
89,103847.7,18,5769.32
90,178799.1,31,5767.71
91,132463.5,23,5759.28
92,138155.15,24,5756.46
93,218661.2,38,5754.24
94,211984.35,37,5729.31
95,125998.95,22,5727.22
96,120153.75,21,5721.61
97,171585.3,30,5719.51
98,194209.45,34,5712.04
99,182719.2,32,5709.98
100,142636.4,25,5705.46
101,171008.15,30,5700.27
102,170849.85,30,5695.0
103,176540.35,31,5694.85
104,176431.8,31,5691.35
105,165000.25,29,5689.66
106,170502.1,30,5683.4
107,176070.25,31,5679.69
108,141821.95,25,5672.88
109,192772.7,34,5669.79
110,158691.9,28,5667.57
111,130129.55,23,5657.81
112,163774.8,29,5647.41
113,129858.3,23,5646.01
114,163268.05,29,5629.93
115,129400.75,23,5626.12
116,146203.55,26,5623.21
117,196643.4,35,5618.38
118,134834.35,24,5618.1
119,168482.2,30,5616.07
120,134651.15,24,5610.46
121,173843.45,31,5607.85
122,185049.1,33,5607.55
123,95161.15,17,5597.71
124,173375.35,31,5592.75
125,184192.8,33,5581.6
126,133939.25,24,5580.8
127,139500.65,25,5580.03
128,156232.6,28,5579.74
129,167338.3,30,5577.94
130,105976.7,19,5577.72
131,144898.3,26,5573.01
132,105738.85,19,5565.2
133,127992.75,23,5564.9
134,177930.5,32,5560.33
135,138986.4,25,5559.46
136,144529.6,26,5558.83
137,205637.45,37,5557.77
138,177588.45,32,5549.64
139,110970.65,20,5548.53
140,205259.8,37,5547.56
141,144056.4,26,5540.63
142,143900.7,26,5534.64
143,127255.8,23,5532.86
144,187973.85,34,5528.64
145,171283.75,31,5525.28
146,149143.45,27,5523.83
147,132521.15,24,5521.71
148,121471.85,22,5521.45
149,137961.15,25,5518.45
150,148768.25,27,5509.94
151,176314.55,32,5509.83
152,148612.25,27,5504.16
153,165091.55,30,5503.05
154,126555.7,23,5502.42
155,165032.75,30,5501.09
156,159366.6,29,5495.4
157,203305.4,37,5494.74
158,142685.6,26,5487.91
159,197516.3,36,5486.56
160,153618.7,28,5486.38
161,164425.95,30,5480.87
162,153393.5,28,5478.34
163,147836.15,27,5475.41
164,131354.9,24,5473.12
165,125869.25,23,5472.58
166,120348.95,22,5470.41
167,207725.95,38,5466.47
168,163875.5,30,5462.52
169,120159.7,22,5461.8
170,158274.35,29,5457.74
171,163425.0,30,5447.5
172,163301.6,30,5443.39
173,114291.45,21,5442.45
174,212198.35,39,5440.98
175,130581.55,24,5440.9
176,157438.8,29,5428.92
177,190005.4,35,5428.73
178,141133.05,26,5428.19
179,141128.35,26,5428.01
180,146550.55,27,5427.8
181,157238.2,29,5422.01
182,157141.45,29,5418.67
183,173311.55,32,5415.99
184,124442.5,23,5410.54
185,162270.7,30,5409.02
186,189141.7,35,5404.05
187,162092.45,30,5403.08
188,172897.9,32,5403.06
189,172681.65,32,5396.3
190,156491.45,29,5396.26
191,113297.35,21,5395.11
192,177954.2,33,5392.55
193,167142.15,31,5391.68
194,145558.85,27,5391.07
195,140104.0,26,5388.62
196,102346.35,19,5386.65
197,145433.9,27,5386.44
198,118484.2,22,5385.65
199,156175.65,29,5385.37
200,155938.35,29,5377.18
201,139727.4,26,5374.13
202,145039.6,27,5371.84
203,139638.25,26,5370.7
204,155651.35,29,5367.29
205,144815.85,27,5363.55
206,182329.9,34,5362.64
207,176924.9,33,5361.36
208,128618.7,24,5359.11
209,176724.0,33,5355.27
210,155145.5,29,5349.84
211,138986.7,26,5345.64
212,154930.05,29,5342.42
213,170898.2,32,5340.57
214,154863.0,29,5340.1
215,149495.65,28,5339.13
216,138790.1,26,5338.08
217,122750.45,23,5336.98
218,149374.6,28,5334.81
219,149187.45,28,5328.12
220,191732.35,36,5325.9
221,165079.8,31,5325.15
222,181036.5,34,5324.6
223,127656.3,24,5319.01
224,148931.45,28,5318.98
225,127627.45,24,5317.81
226,127560.6,24,5315.02
227,159424.05,30,5314.13
228,138156.05,26,5313.69
229,154041.3,29,5311.77
230,164643.1,31,5311.07
231,127332.85,24,5305.54
232,137828.85,26,5301.11
233,217230.7,41,5298.31
234,190549.3,36,5293.04
235,164060.35,31,5292.27
236,174602.05,33,5290.97
237,84653.5,16,5290.84
238,142816.85,27,5289.51
239,116359.6,22,5289.07
240,158625.1,30,5287.5
241,163752.35,31,5282.33
242,190106.6,36,5280.74
243,190074.3,36,5279.84
244,163640.3,31,5278.72
245,179431.85,34,5277.41
246,168666.4,32,5270.82
247,110631.2,21,5268.15
248,152730.35,29,5266.56
249,157974.05,30,5265.8
250,121078.8,23,5264.3
251,152632.7,29,5263.2
252,168220.2,32,5256.88
253,136658.3,26,5256.09
254,115588.85,22,5254.04
255,136503.3,26,5250.13
256,115493.2,22,5249.69
257,220370.25,42,5246.91
258,125717.0,24,5238.21
259,219889.7,42,5235.47
260,146585.15,28,5235.18
261,120389.05,23,5234.31
262,177963.2,34,5234.21
263,177548.7,34,5222.02
264,156474.0,30,5215.8
265,140682.6,27,5210.47
266,234236.15,45,5205.25
267,124759.9,24,5198.33
268,129946.05,25,5197.84
269,145534.9,28,5197.68
270,114069.55,22,5184.98
271,72587.5,14,5184.82
272,155532.15,30,5184.4
273,124306.3,24,5179.43
274,155193.4,30,5173.11
275,155175.85,30,5172.53
276,134477.05,26,5172.19
277,124089.7,24,5170.4
278,129163.15,25,5166.53
279,175659.1,34,5166.44
280,118754.55,23,5163.24
281,98094.45,19,5162.87
282,134224.25,26,5162.47
283,144534.5,28,5161.95
284,170095.7,33,5154.42
285,128666.2,25,5146.65
286,138958.1,27,5146.6
287,102862.5,20,5143.12
288,118194.65,23,5138.9
289,179683.3,35,5133.81
290,189833.95,37,5130.65
291,169234.55,33,5128.32
292,158975.35,31,5128.24
293,174347.2,34,5127.86
294,138451.15,27,5127.82
295,169072.4,33,5123.41
296,209821.55,41,5117.6
297,122760.7,24,5115.03
298,173850.7,34,5113.26
299,158508.35,31,5113.17
300,71564.15,14,5111.72
301,137939.45,27,5108.87
302,137896.15,27,5107.26
303,152996.45,30,5099.88
304,147881.45,29,5099.36
305,173321.2,34,5097.68
306,152898.95,30,5096.63
307,163083.55,32,5096.36
308,127374.2,25,5094.97
309,147709.9,29,5093.44
310,213887.6,42,5092.56
311,132334.8,26,5089.8
312,152570.75,30,5085.69
313,162590.35,32,5080.95
314,126908.35,25,5076.33
315,172521.55,34,5074.16
316,147078.1,29,5071.66
317,126715.15,25,5068.61
318,167107.9,33,5063.88
319,116424.9,23,5061.95
320,136579.85,27,5058.51
321,141612.65,28,5057.59
322,96087.25,19,5057.22
323,151636.65,30,5054.55
324,121193.0,24,5049.71
325,141369.7,28,5048.92
326,151366.7,30,5045.56
327,110909.0,22,5041.32
328,110901.3,22,5040.97
329,90697.8,18,5038.77
330,141019.35,28,5036.41
331,176241.1,35,5035.46
332,150990.5,30,5033.02
333,120722.6,24,5030.11
334,215940.4,43,5021.87
335,135586.2,27,5021.71
336,185575.9,37,5015.56
337,145444.55,29,5015.33
338,140292.2,28,5010.44
339,130248.7,26,5009.57
340,95104.15,19,5005.48
341,125032.2,25,5001.29
342,125015.6,25,5000.62
343,119996.4,24,4999.85
344,164970.9,33,4999.12
345,134840.35,27,4994.09
346,144798.3,29,4993.04
347,204425.45,41,4985.99
348,139367.25,28,4977.4
349,134319.7,27,4974.8
350,174056.6,35,4973.05
351,159118.4,32,4972.45
352,114335.1,23,4971.09
353,134204.4,27,4970.53
354,154072.95,31,4970.1
355,153786.85,31,4960.87
356,143808.8,29,4958.92
357,99133.35,20,4956.67
358,113953.25,23,4954.49
359,128816.6,26,4954.48
360,99082.8,20,4954.14
361,138708.8,28,4953.89
362,113882.1,23,4951.4
363,133645.65,27,4949.84
364,128634.75,26,4947.49
365,153298.7,31,4945.12
366,123576.15,25,4943.05
367,172915.1,35,4940.43
368,118565.15,24,4940.21
369,108606.75,22,4936.67
370,123389.65,25,4935.59
371,182587.05,37,4934.79
372,128299.85,26,4934.61
373,167754.9,34,4933.97
374,108491.45,22,4931.43
375,128138.4,26,4928.4
376,128061.1,26,4925.43
377,98261.5,20,4913.08
378,122826.4,25,4913.06
379,122804.95,25,4912.2
380,162079.0,33,4911.48
381,142402.3,29,4910.42
382,176523.45,36,4903.43
383,102925.05,21,4901.19
384,171538.05,35,4901.09
385,137219.3,28,4900.69
386,195916.8,40,4897.92
387,141748.9,29,4887.89
388,166183.6,34,4887.75
389,141570.3,29,4881.73
390,156197.3,32,4881.17
391,151239.6,31,4878.7
392,175544.0,36,4876.22
393,156035.35,32,4876.1
394,151159.05,31,4876.1
395,121885.8,25,4875.43
396,170638.05,35,4875.37
397,112087.05,23,4873.35
398,131545.15,27,4872.04
399,155846.3,32,4870.2
400,233681.55,48,4868.37
401,189733.4,39,4864.96
402,145874.5,30,4862.48
403,170179.0,35,4862.26
404,155495.2,32,4859.23
405,121387.15,25,4855.49
406,135942.15,28,4855.08
407,130986.1,27,4851.34
408,160000.45,33,4848.5
409,96952.9,20,4847.64
410,125884.15,26,4841.7
411,154896.1,32,4840.5
412,120982.2,25,4839.29
413,154760.5,32,4836.27
414,120860.9,25,4834.44
415,116007.9,24,4833.66
416,111170.65,23,4833.51
417,125641.1,26,4832.35
418,101300.3,21,4823.82
419,125321.5,26,4820.06
420,144578.95,30,4819.3
421,173490.4,36,4819.18
422,149303.05,31,4816.23
423,154075.2,32,4814.85
424,139582.95,29,4813.21
425,134767.35,28,4813.12
426,100999.75,21,4809.51
427,168297.15,35,4808.49
428,153796.5,32,4806.14
429,144136.0,30,4804.53
430,129589.6,27,4799.61
431,100735.5,21,4796.93
432,139090.3,29,4796.22
433,163028.45,34,4794.95
434,134213.45,28,4793.34
435,124589.0,26,4791.88
436,182024.6,38,4790.12
437,172414.85,36,4789.3
438,138720.0,29,4783.45
439,109981.8,23,4781.82
440,100368.4,21,4779.45
441,143373.4,30,4779.11
442,171980.05,36,4777.22
443,128932.35,27,4775.27
444,166926.9,35,4769.34
445,104911.8,22,4768.72
446,133386.1,28,4763.79
447,147452.85,31,4756.54
448,114136.45,24,4755.69
449,118860.75,25,4754.43
450,166397.95,35,4754.23
451,118847.95,25,4753.92
452,142491.55,30,4749.72
453,99719.95,21,4748.57
454,142359.4,30,4745.31
455,161337.15,34,4745.21
456,142181.8,30,4739.39
457,127648.65,27,4727.73
458,151203.65,32,4725.11
459,141661.85,30,4722.06
460,174650.95,37,4720.3
461,136876.15,29,4719.87
462,103828.3,22,4719.47
463,169776.65,36,4716.02
464,150892.25,32,4715.38
465,141459.7,30,4715.32
466,150836.2,32,4713.63
467,150804.4,32,4712.64
468,160205.0,34,4711.91
469,131927.85,28,4711.71
470,117735.15,25,4709.41
471,117705.95,25,4708.24
472,80038.95,17,4708.17
473,94152.05,20,4707.6
474,150633.7,32,4707.3
475,141123.25,30,4704.11
476,136214.5,29,4697.05
477,145602.1,31,4696.84
478,117374.7,25,4694.99
479,126658.5,27,4691.06
480,107789.95,23,4686.52
481,149947.8,32,4685.87
482,116989.85,25,4679.59
483,149480.5,32,4671.27
484,154053.7,33,4668.29
485,154027.6,33,4667.5
486,154001.7,33,4666.72
487,167958.5,36,4665.51
488,130490.3,28,4660.37
489,149128.45,32,4660.26
490,158412.85,34,4659.2
491,144340.15,31,4656.13
492,139651.65,30,4655.05
493,125654.25,27,4653.86
494,130304.85,28,4653.74
495,120971.0,26,4652.73
496,83714.15,18,4650.79
497,176696.7,38,4649.91
498,195226.15,42,4648.24
499,134655.05,29,4643.28
500,129987.55,28,4642.41
501,129934.95,28,4640.53
502,129845.5,28,4637.34
503,143652.0,31,4633.94
504,157521.35,34,4632.98
505,176052.4,38,4632.96
506,124986.75,27,4629.14
507,101611.15,22,4618.69
508,124458.85,27,4609.59
509,138182.95,30,4606.1
510,105830.35,23,4601.32
511,101226.75,22,4601.22
512,105770.75,23,4598.73
513,105734.4,23,4597.15
514,119496.65,26,4596.02
515,105670.25,23,4594.36
516,142339.95,31,4591.61
517,114690.45,25,4587.62
518,123852.95,27,4587.15
519,87097.7,19,4584.09
520,155849.8,34,4583.82
521,114546.4,25,4581.86
522,123654.7,27,4579.8
523,100392.7,22,4563.3
524,123191.95,27,4562.66
525,118615.95,26,4562.15
526,113964.8,25,4558.59
527,118488.1,26,4557.23
528,118466.75,26,4556.41
529,127571.35,28,4556.12
530,86529.65,19,4554.19
531,150263.0,33,4553.42
532,141116.3,31,4552.14
533,168362.3,37,4550.33
534,149944.1,33,4543.76
535,149886.75,33,4542.02
536,113521.45,25,4540.86
537,136199.55,30,4539.98
538,95287.35,21,4537.49
539,140464.85,31,4531.12
540,135812.65,30,4527.09
541,117545.7,26,4520.99
542,144660.2,32,4520.63
543,112942.5,25,4517.7
544,117304.75,26,4511.72
545,130804.8,29,4510.51
546,135292.25,30,4509.74
547,103688.75,23,4508.21
548,135230.5,30,4507.68
549,130716.9,29,4507.48
550,112675.55,25,4507.02
551,166588.15,37,4502.38
552,85530.85,19,4501.62
553,94328.75,21,4491.85
554,112250.8,25,4490.03
555,125703.65,28,4489.42
556,107668.2,24,4486.18
557,121023.55,27,4482.35
558,120939.7,27,4479.25
559,120917.6,27,4478.43
560,138817.8,31,4477.99
561,125381.0,28,4477.89
562,134264.1,30,4475.47
563,102878.75,23,4472.99
564,174214.9,39,4467.05
565,80363.45,18,4464.64
566,124977.05,28,4463.47
567,124720.3,28,4454.3
568,93515.65,21,4453.13
569,129054.7,29,4450.16
570,124479.05,28,4445.68
571,97777.05,22,4444.41
572,146214.3,33,4430.74
573,155025.0,35,4429.29
574,132762.25,30,4425.41
575,137147.1,31,4424.1
576,123762.0,28,4420.07
577,106024.1,24,4417.67
578,110422.35,25,4416.89
579,158965.8,36,4415.72
580,123611.95,28,4414.71
581,127987.25,29,4413.35
582,118964.55,27,4406.09
583,101290.6,23,4403.94
584,136459.15,31,4401.91
585,127252.25,29,4388.01
586,105296.85,24,4387.37
587,96411.1,22,4382.32
588,96128.0,22,4369.45
589,113535.2,26,4366.74
590,130757.75,30,4358.59
591,126301.85,29,4355.24
592,117533.4,27,4353.09
593,156709.3,36,4353.04
594,130574.75,30,4352.49
595,130568.65,30,4352.29
596,104382.35,24,4349.26
597,169337.65,39,4341.99
598,121538.3,28,4340.65
599,169264.3,39,4340.11
600,134396.1,31,4335.36
601,143058.75,33,4335.11
602,91034.85,21,4334.99
603,121374.45,28,4334.8
604,125653.0,29,4332.86
605,108192.55,25,4327.7
606,134132.85,31,4326.87
607,116796.75,27,4325.81
608,146836.75,34,4318.73
609,94989.2,22,4317.69
610,125148.1,29,4315.45
611,159432.5,37,4308.99
612,142042.9,33,4304.33
613,146326.9,34,4303.73
614,111766.05,26,4298.69
615,98862.9,23,4298.39
616,137546.05,32,4298.31
617,128932.15,30,4297.74
618,124596.95,29,4296.45
619,77270.6,18,4292.81
620,115885.05,27,4292.04
621,72920.6,17,4289.45
622,149989.65,35,4285.42
623,128543.4,30,4284.78
624,119905.55,28,4282.34
625,72795.8,17,4282.11
626,136575.4,32,4267.98
627,127955.7,30,4265.19
628,102060.85,24,4252.54
629,122940.95,29,4239.34
630,122865.65,29,4236.75
631,148067.35,35,4230.5
632,54994.0,13,4230.31
633,122667.4,29,4229.91
634,139458.5,33,4226.02
635,105266.35,25,4210.65
636,101026.65,24,4209.44
637,122010.1,29,4207.24
638,138740.85,33,4204.27
639,113372.35,27,4198.98
640,109108.8,26,4196.49
641,83734.15,20,4186.71
642,91897.45,22,4177.16
643,104275.15,25,4171.01
644,100050.4,24,4168.77
645,112489.3,27,4166.27
646,116652.4,28,4166.16
647,66626.95,16,4164.18
648,108052.95,26,4155.88
649,103775.0,25,4151.0
650,112019.4,27,4148.87
651,87121.4,21,4148.64
652,144992.7,35,4142.65
653,111770.7,27,4139.66
654,136546.65,33,4137.78
655,136350.1,33,4131.82
656,144454.6,35,4127.27
657,90572.35,22,4116.92
658,74094.85,18,4116.38
659,119087.3,29,4106.46
660,110852.1,27,4105.63
661,102635.15,25,4105.41
662,119049.35,29,4105.15
663,77726.95,19,4090.89
664,94025.15,23,4088.05
665,118329.95,29,4080.34
666,142514.3,35,4071.84
667,126132.45,31,4068.79
668,101588.6,25,4063.54
669,137794.65,34,4052.78
670,125497.2,31,4048.3
671,113336.95,28,4047.75
672,117034.8,29,4035.68
673,112797.65,28,4028.49
674,112342.85,28,4012.24
675,92270.8,23,4011.77
676,99738.15,25,3989.53
677,115647.3,29,3987.84
678,107502.95,27,3981.59
679,91568.2,23,3981.23
680,59664.4,15,3977.63
681,87491.8,22,3976.9
682,91412.15,23,3974.44
683,134942.85,34,3968.91
684,115095.7,29,3968.82
685,114612.55,29,3952.16
686,102574.7,26,3945.18
687,114400.65,29,3944.85
688,122263.3,31,3943.98
689,118212.05,30,3940.4
690,125992.9,32,3937.28
691,94289.2,24,3928.72
692,117331.35,30,3911.04
693,125100.65,32,3909.4
694,89864.0,23,3907.13
695,58366.7,15,3891.11
696,143278.1,37,3872.38
697,81212.1,21,3867.24
698,92759.55,24,3864.98
699,99752.4,26,3836.63
700,99682.0,26,3833.92
701,122664.55,32,3833.27
702,83986.45,22,3817.57
703,72533.05,19,3817.53
704,125843.45,33,3813.44
705,106551.4,28,3805.41
706,110310.6,29,3803.81
707,79024.75,21,3763.08
708,86415.6,23,3757.2
709,115587.6,31,3728.63
710,107815.6,29,3717.78
711,59350.85,16,3709.43
712,92732.9,25,3709.32
713,125190.05,34,3682.06
714,117090.7,32,3659.08
715,86311.05,24,3596.29
716,70579.4,20,3528.97
717,101703.5,29,3507.02
718,73260.7,21,3488.6
719,64788.05,19,3409.9
720,77671.15,23,3377.01
721,84317.4,25,3372.7
722,104262.05,31,3363.29
723,79106.5,24,3296.1
724,78746.3,24,3281.1
725,72086.8,22,3276.67
726,77425.45,24,3226.06
727,51267.95,16,3204.25
728,60258.4,19,3171.49
729,74823.55,24,3117.65
730,67194.8,24,2799.78
